resume_text,skills
"Frontend Developer with experience in React, HTML, CSS, and JavaScript. Built responsive UI projects.","react,html,css,javascript"
"Backend Engineer proficient in Python, Flask, SQL, and Docker. Worked on REST APIs.","python,flask,sql,docker"
"Data Scientist skilled in Python, Machine Learning, Pandas, and Scikit-learn.","python,machine learning,pandas,scikit-learn"
"Full Stack Developer: Node.js, Express, React, and MongoDB. Scalable web apps.","node.js,express,react,mongodb"
"DevOps Specialist: Kubernetes, AWS, Terraform, and CI/CD pipelines.","kubernetes,aws,terraform,ci/cd"
"UI/UX Designer: Figma, Adobe XD, User Research, and Wireframing.","figma,adobe xd,user research"
"Mobile Developer: Flutter, Dart, Firebase, and App Store deployment.","flutter,dart,firebase"
"AI Engineer: PyTorch, TensorFlow, NLP, and Deep Learning models.","pytorch,tensorflow,nlp,deep learning"
"Software Engineer: Java, Spring Boot, Microservices, and PostgreSQL.","java,spring boot,microservices,postgresql"
"Cloud Architect: Azure, Serverless, CosmosDB, and Cloud Security.","azure,serverless,cloud security,azure"
"Data Engineer: Spark, Hadoop, Kafka, and ETL processing.","spark,hadoop,kafka,etl"
"Cybersecurity: Penetration Testing, Wireshark, and Network Security.","penetration testing,network security"
"Frontend: Vue.js, Vuex, Sass, and Webpack integration.","vue.js,vuex,sass,webpack"
"Backend: Ruby on Rails, PostgreSQL, and Redis caching.","ruby on rails,postgresql,redis"
"Data Analyst: SQL, Power BI, Excel, and Tableau visualization.","sql,power bi,excel,tableau"
"Machine Learning: Reinforcement Learning, Computer Vision, and OpenCV.","machine learning,computer vision,opencv"
"React Developer: Redux, Next.js, and TypeScript for web apps.","react,redux,next.js,typescript"
"NodeJS Developer: NestJS, GraphQL, and Prisma ORM.","node.js,graphql,nestjs"
"Python Dev: Django, Celery, and RabbitMQ for async tasks.","python,django,celery"
"AWS Expert: Lambda, S3, EC2, and IAM policies.","aws,lambda,s3,aws"
"Digital Marketing: SEO, SEM, Google Analytics, and Ad Campaigns.","seo,google analytics"
"Technical Content Writer: Blog posts, API documentation, and Markdown.","markdown,documentation"
"Business Analyst: Agile, Scrum, User Stories, and GAP analysis.","agile,scrum"
"Quality Assurance: Selenium, Pytest, Manual Testing, and Jira.","selenium,pytest,jira"
"Blockchain Developer: Solidity, Ethereum, Web3.js, and Smart Contracts.","solidity,ethereum,web3.js"
"Embedded Systems: C, ARM, I2C, SPI, and RTOS.","c,arm,rtos"
"PHP Developer: Laravel, MySQL, WordPress, and PHP.","laravel,mysql,wordpress,php"
"iOS Developer: Swift, SwiftUI, Xcode, and Core Data.","swift,swiftui,xcode"
"Android Developer: Kotlin, Jetpack Compose, and Retrofit.","kotlin,android"
"Game Developer: Unity, C#, 3D Modeling, and Shaders.","unity,c#"
"Project Manager: Budgeting, Risk Management, and Team Leadership.","project management"
"System Admin: Linux, Bash Scripting, Apache, and Nginx.","linux,bash"
"Network Engineer: Cisco, OSPF, BGP, and VLAN configuration.","cisco,networking"
"Graphic Designer: Photoshop, Illustrator, and Creative Suite.","photoshop,illustrator"
"Salesforce Dev: Apex, Visualforce, and Lightning Web Components.","apex,salesforce"
"HR Specialist: Recruitment, Onboarding, and Employee Engagement.","recruitment"
"Financial Analyst: Excel, VBA, Financial Modeling, and R.","excel,vba,r"
"Legal Consultant: Contract Law, Compliance, and Intellectual Property.","compliance"
"Operations Manager: Logistics, Supply Chain, and ERP systems.","logistics,erp"
"Frontend Dev: Tailwind CSS, Headless UI, and Framer Motion.","tailwind css,react"
"Data Engineer: BigQuery, Airflow, and Data Warehousing.","bigquery,airflow"
"Cloud Engineer: GCP, Cloud Run, and GKE.","gcp,kubernetes"
"ML Engineer: HuggingFace, LangChain, and LLM fine-tuning.","huggingface,langchain,llm"
"C++ Developer: STL, Boost, and High-Performance Computing.","c++"
"Golang Engineer: Concurrency, Goroutines, and Microservices.","go"
"Scala Developer: Akka, Spark, and functional programming.","scala,spark"
"Python Scripting: Automation, Selenium, and BeautifulSoup.","python,selenium,beautifulsoup"
"AR/VR Developer: Unreal Engine, C++, and Meta SDK.","unreal engine,c++"
"Product Designer: Interaction Design, Prototyping, and UX research.","figma,ux research"
